Date,Closing_Price,SMA20,Daily_Return,Direction,Streaks,Profit,Signal
2023-05-30,175.34341430664062,170.54548568725588,0.011,Up,4,191.24115753173828,Sell
2023-05-31,175.2939910888672,170.98769302368166,-0.0,Flat,-1,191.24115753173828,Buy
2023-06-01,178.1026153564453,171.62415466308596,0.016,Up,1,191.24115753173828,Hold
2023-06-02,178.95314025878906,172.3851127624512,0.005,Up,2,194.90030670166016,Sell
2023-06-05,177.5982666015625,172.6941520690918,-0.008,Down,-1,194.90030670166016,
2023-06-06,177.23233032226562,172.98835067749025,-0.002,Down,-2,194.90030670166016,
2023-06-07,175.85768127441406,173.29924468994142,-0.008,Down,-3,194.90030670166016,Buy
2023-06-08,178.57733154296875,173.6577308654785,0.015,Up,1,194.90030670166016,Hold
2023-06-09,178.96302795410156,174.02611999511717,0.002,Up,2,194.90030670166016,Hold
2023-06-12,181.76181030273438,174.58092956542967,0.016,Up,3,200.80443572998047,Sell
2023-06-13,181.287109375,175.13672790527343,-0.003,Down,-1,200.80443572998047,Buy
2023-06-14,181.92002868652344,175.72417221069338,0.003,Up,1,200.80443572998047,Hold
2023-06-15,183.9573211669922,176.38282318115233,0.011,Up,2,203.47464752197266,Sell
2023-06-16,182.8793182373047,176.8708770751953,-0.006,Down,-1,203.47464752197266,Buy
2023-06-20,182.9683380126953,177.3579414367676,0.0,Flat,1,203.56366729736328,Sell
2023-06-21,181.92994689941406,177.84055633544924,-0.006,Down,-1,203.56366729736328,Buy
2023-06-22,184.93637084960938,178.6040367126465,0.017,Up,1,206.5700912475586,Sell
2023-06-23,184.61990356445312,179.33784942626954,-0.002,Down,-1,206.5700912475586,
2023-06-26,183.2254638671875,179.94507293701173,-0.008,Down,-2,206.5700912475586,Buy
2023-06-27,185.9846649169922,180.56960372924806,0.015,Up,1,206.5700912475586,Hold
2023-06-28,187.16156005859375,181.1605110168457,0.006,Up,2,206.5700912475586,Hold
2023-06-29,187.49778747558594,181.77070083618165,0.002,Up,3,206.5700912475586,Hold
2023-06-30,191.82945251464844,182.45704269409183,0.023,Up,4,215.17407989501953,Sell
2023-07-03,190.3361358642578,183.02619247436525,-0.008,Down,-1,215.17407989501953,
2023-07-05,189.21856689453125,183.6072074890137,-0.006,Down,-2,215.17407989501953,Buy
2023-07-06,189.69329833984375,184.2302558898926,0.003,Up,1,215.64881134033203,Sell
2023-07-07,188.57574462890625,184.86615905761718,-0.006,Down,-1,215.64881134033203,
2023-07-10,186.52862548828125,185.26372375488282,-0.011,Down,-2,215.64881134033203,
2023-07-11,186.00448608398438,185.61579666137695,-0.003,Down,-3,215.64881134033203,Buy
2023-07-12,187.6758270263672,185.9114974975586,0.009,Up,1,215.64881134033203,Hold
2023-07-13,188.4373321533203,186.26900863647458,0.004,Up,2,215.64881134033203,Hold
2023-07-14,188.58566284179688,186.60229034423827,0.001,Up,3,215.64881134033203,Hold
2023-07-17,191.84927368164062,186.9968879699707,0.017,Up,4,221.49359893798828,Sell
2023-07-18,191.59210205078125,187.4325271606445,-0.001,Down,-1,221.49359893798828,Buy
2023-07-19,192.947021484375,187.93146133422852,0.007,Up,1,222.84851837158203,Sell
2023-07-20,190.99874877929688,188.38490142822266,-0.01,Down,-1,222.84851837158203,
2023-07-21,189.8218536376953,188.62917556762696,-0.006,Down,-2,222.84851837158203,Buy
2023-07-24,190.62289428710938,188.92932510375977,0.004,Up,1,222.84851837158203,Hold
2023-07-25,191.4833221435547,189.34221801757812,0.005,Up,2,222.84851837158203,Hold
2023-07-26,192.35360717773438,189.66066513061526,0.005,Up,3,225.3802719116211,Sell
2023-07-27,191.08775329589844,189.8569747924805,-0.007,Down,-1,225.3802719116211,Buy
2023-07-28,193.66896057128906,190.16553344726563,0.014,Up,1,225.3802719116211,Hold
2023-07-31,194.2821044921875,190.28816604614258,0.003,Up,2,228.57462310791016,Sell
2023-08-01,193.4513702392578,190.44392776489255,-0.004,Down,-1,228.57462310791016,
2023-08-02,190.45480346679688,190.50573959350587,-0.015,Down,-2,228.57462310791016,
2023-08-03,189.0603485107422,190.47409210205078,-0.007,Down,-3,228.57462310791016,
2023-08-04,179.98167419433594,190.04438858032222,-0.048,Down,-4,228.57462310791016,
2023-08-07,176.8763427734375,189.5617744445801,-0.017,Down,-5,228.57462310791016,Buy
2023-08-08,177.8158416748047,189.15234222412107,0.005,Up,1,229.51412200927734,Sell
2023-08-09,176.22360229492188,188.5797309875488,-0.009,Down,-1,229.51412200927734,
2023-08-10,176.0060272216797,187.9581657409668,-0.001,Down,-2,229.51412200927734,Buy
2023-08-11,176.06544494628906,187.3321548461914,0.0,Flat,1,229.51412200927734,Hold
2023-08-14,177.71923828125,186.6256530761719,0.009,Up,2,231.22733306884766,Sell
2023-08-15,175.72872924804688,185.83248443603517,-0.011,Down,-1,231.22733306884766,
2023-08-16,174.85731506347656,184.92799911499023,-0.005,Down,-2,231.22733306884766,
2023-08-17,172.3122100830078,183.9936721801758,-0.015,Down,-3,231.22733306884766,Buy
2023-08-18,172.79747009277344,183.1424530029297,0.003,Up,1,231.22733306884766,Hold
2023-08-21,174.1343536376953,182.318025970459,0.008,Up,2,231.22733306884766,Hold
2023-08-22,175.5108642578125,181.51940307617187,0.008,Up,3,231.22733306884766,Hold
2023-08-23,179.3631591796875,180.86988067626953,0.022,Up,4,238.27828216552734,Sell
2023-08-24,174.6691436767578,180.04895019531247,-0.026,Down,-1,238.27828216552734,Buy
2023-08-25,176.87750244140625,179.20937728881833,0.013,Up,1,238.27828216552734,Hold
2023-08-28,178.4421844482422,178.41738128662104,0.009,Up,2,238.27828216552734,Hold
2023-08-29,182.3340606689453,177.86151580810545,0.022,Up,3,238.27828216552734,Hold
2023-08-30,185.8297882080078,177.63026504516603,0.019,Up,4,238.27828216552734,Hold
2023-08-31,186.0476837158203,177.47963180541993,0.001,Up,5,238.27828216552734,Hold
2023-09-01,187.62225341796875,177.8616607666016,0.008,Up,6,238.27828216552734,Hold
2023-09-05,187.85992431640625,178.41083984375004,0.001,Up,7,251.46906280517578,Sell
2023-09-06,181.1357879638672,178.57683715820315,-0.036,Down,-1,251.46906280517578,
2023-09-07,175.8376922607422,178.55754165649415,-0.029,Down,-2,251.46906280517578,Buy
2023-09-08,176.45166015625,178.57982330322264,0.003,Up,1,251.46906280517578,Hold
2023-09-11,177.62022399902344,178.65756225585938,0.007,Up,2,253.25159454345703,Sell
2023-09-12,174.5899200439453,178.50109634399416,-0.017,Down,-1,253.25159454345703,
2023-09-13,172.5201873779297,178.3406692504883,-0.012,Down,-2,253.25159454345703,Buy
2023-09-14,174.0353546142578,178.29957122802736,0.009,Up,1,254.76676177978516,Sell
2023-09-15,173.31240844726562,178.34958114624027,-0.004,Down,-1,254.76676177978516,Buy
2023-09-18,176.2436981201172,178.52189254760745,0.017,Up,1,254.76676177978516,Hold
2023-09-19,177.3330535888672,178.68182754516602,0.006,Up,2,258.7874069213867,Sell
2023-09-20,173.7877655029297,178.59567260742185,-0.02,Down,-1,258.7874069213867,
2023-09-21,172.24288940429688,178.23965911865233,-0.009,Down,-2,258.7874069213867,Buy
2023-09-22,173.09457397460938,178.16093063354492,0.005,Up,1,258.7874069213867,Hold
2023-09-25,174.37205505371094,178.03565826416016,0.007,Up,2,260.9165725708008,Sell
2023-09-26,170.2919921875,177.6281486511231,-0.023,Down,-1,260.9165725708008,
2023-09-27,168.77684020996094,176.95028762817387,-0.009,Down,-2,260.9165725708008,Buy
2023-09-28,169.0343017578125,176.11051330566409,0.002,Up,1,260.9165725708008,Hold
2023-09-29,169.54928588867188,175.28559341430665,0.003,Up,2,260.9165725708008,Hold
2023-10-02,172.06463623046875,174.50771255493166,0.015,Up,3,264.2043685913086,Sell
2023-10-03,170.72772216796875,173.65110244750977,-0.008,Down,-1,264.2043685913086,Buy
2023-10-04,171.9755096435547,173.19308853149414,0.007,Up,1,264.2043685913086,Hold
2023-10-05,173.21337890625,173.06187286376954,0.007,Up,2,264.2043685913086,Hold
2023-10-06,175.7683868408203,173.02770919799804,0.015,Up,3,264.2043685913086,Hold
2023-10-09,177.25384521484375,173.00939025878904,0.008,Up,4,270.7304916381836,Sell
2023-10-10,176.6596221923828,173.11287536621094,-0.003,Down,-1,270.7304916381836,Buy
2023-10-11,178.0559539794922,173.38966369628906,0.008,Up,1,270.7304916381836,Hold
2023-10-12,178.95713806152344,173.63575286865236,0.005,Up,2,273.0280075073242,Sell
2023-10-13,177.1151885986328,173.82589187622074,-0.01,Down,-1,273.0280075073242,
2023-10-16,176.98641967773438,173.86302795410157,-0.001,Down,-2,273.0280075073242,
2023-10-17,175.43165588378906,173.76795806884766,-0.009,Down,-3,273.0280075073242,
2023-10-18,174.1343536376953,173.78528747558593,-0.007,Down,-4,273.0280075073242,
2023-10-19,173.75807189941406,173.86104660034178,-0.002,Down,-5,273.0280075073242,
2023-10-20,171.20309448242188,173.76647262573238,-0.015,Down,-6,273.0280075073242,Buy
2023-10-23,171.32188415527344,173.61396408081055,0.001,Up,1,273.0280075073242,Hold
2023-10-24,171.75765991210938,173.68724746704103,0.003,Up,2,273.5825729370117,Sell
2023-10-25,169.4403533935547,173.72042312622074,-0.013,Down,-1,273.5825729370117,
2023-10-26,165.27117919921875,173.53226699829105,-0.025,Down,-2,273.5825729370117,Buy
2023-10-27,166.58827209472656,173.38421630859375,0.008,Up,1,273.5825729370117,Hold
2023-10-30,168.63819885253906,173.21289443969727,0.012,Up,2,273.5825729370117,Hold
2023-10-31,169.11355590820312,173.132186126709,0.003,Up,3,273.5825729370117,Hold
2023-11-01,172.2825164794922,173.14753646850588,0.019,Up,4,273.5825729370117,Hold
2023-11-02,175.84759521484375,173.27924728393558,0.021,Up,5,284.1589889526367,Sell
2023-11-03,174.9365234375,173.23765411376954,-0.005,Down,-1,284.1589889526367,Buy
2023-11-06,177.49148559570312,173.2495361328125,0.015,Up,1,284.1589889526367,Hold
2023-11-07,180.05638122558594,173.41937408447268,0.014,Up,2,284.1589889526367,Hold
2023-11-08,181.1160125732422,173.57237701416014,0.006,Up,3,290.3384780883789,Sell
2023-11-09,180.64064025878906,173.65655212402342,-0.003,Down,-1,290.3384780883789,Buy
2023-11-10,184.8351287841797,174.04254913330078,0.023,Up,1,294.53296661376953,Sell
2023-11-13,183.24855041503906,174.355655670166,-0.009,Down,-1,294.53296661376953,Buy
2023-11-14,185.8663787841797,174.87739181518552,0.014,Up,1,294.53296661376953,Hold
2023-11-15,186.43161010742188,175.49225463867185,0.003,Up,2,294.53296661376953,Hold
2023-11-16,188.11734008789062,176.2102180480957,0.009,Up,3,299.4017562866211,Sell
2023-11-17,188.09751892089844,177.05493927001953,-0.0,Flat,-1,299.4017562866211,Buy
2023-11-20,189.8427276611328,177.9809814453125,0.009,Up,1,301.14696502685547,Sell
2023-11-21,189.03953552246094,178.8450752258301,-0.004,Down,-1,301.14696502685547,Buy
2023-11-22,189.7039031982422,179.85825271606447,0.004,Up,1,301.8113327026367,Sell
2023-11-24,188.37515258789062,181.01345138549806,-0.007,Down,-1,301.8113327026367,
2023-11-27,188.19668579101562,182.0938720703125,-0.001,Down,-2,301.8113327026367,Buy
2023-11-28,188.80152893066406,183.10203857421874,0.003,Up,1,302.41617584228516,Sell
2023-11-29,187.78018188476562,184.03536987304685,-0.005,Down,-1,302.41617584228516,Buy
2023-11-30,188.35531616210938,184.83900985717773,0.003,Up,1,302.41617584228516,Hold
2023-12-01,189.63450622558594,185.52835540771483,0.007,Up,2,304.27050018310547,Sell
2023-12-04,187.83969116210938,186.1735137939453,-0.009,Down,-1,304.27050018310547,Buy
2023-12-05,191.7961883544922,186.88874893188475,0.021,Up,1,308.2269973754883,Sell
2023-12-06,190.70542907714844,187.4212013244629,-0.006,Down,-1,308.2269973754883,Buy
2023-12-07,192.63905334472656,187.99735336303712,0.01,Up,1,308.2269973754883,Hold
2023-12-08,194.0669403076172,188.66866836547854,0.007,Up,2,311.58850860595703,Sell
2023-12-11,191.55821228027344,189.00482254028321,-0.013,Down,-1,311.58850860595703,Buy
2023-12-12,193.0753631591797,189.49616317749025,0.008,Up,1,311.58850860595703,Hold
2023-12-13,196.298095703125,190.0177490234375,0.017,Up,2,311.58850860595703,Hold
2023-12-14,196.4468231201172,190.51850967407222,0.001,Up,3,316.4771194458008,Sell
2023-12-15,195.91134643554688,190.90820999145507,-0.003,Down,-1,316.4771194458008,
2023-12-18,194.24545288085938,191.2156066894531,-0.009,Down,-2,316.4771194458008,Buy
2023-12-19,195.28663635253906,191.48780212402343,0.005,Up,1,317.51830291748047,Sell
2023-12-20,193.19436645507812,191.69554367065433,-0.011,Down,-1,317.51830291748047,
2023-12-21,193.04559326171875,191.86262817382814,-0.001,Down,-2,317.51830291748047,
